username,profile_url,content_type,followers_count,location,bio_summary,post_frequency,engagement_rate,verified
gaijinka_mtj,https://www.instagram.com/gaijinka_mtj/,Lifestyle/Culture,15.2K,Japan,Sharing married life and cultural experiences in Japan,High,High,No
itsgracechin,https://www.instagram.com/itsgracechin/,Vlog/Lifestyle,11.8K,Japan,Daily life and vlogging experiences in Japan,High,High,No
therefinedjapan,https://www.instagram.com/therefinedjapan/,Culture/Education,13.4K,Japan,Cultural insights and educational content about Japan,High,High,No
ankit_purohit_japan,https://www.instagram.com/ankit_purohit_japan/,Career/Education,14.2K,Japan,Sharing insights about working and career in Japan,High,High,No
japan.expat,https://www.instagram.com/japan.expat/,Lifestyle/Culture,11.3K,Japan,Daily life and cultural experiences as an expat in Japan,Regular,High,No
toriaezu_japan,https://www.instagram.com/toriaezu_japan/,Culture/Guide,12.4K,Japan,Sharing unique aspects and insider tips about Japan,High,High,No
japanlife.guide,https://www.instagram.com/japanlife.guide/,Lifestyle/Guide,16.7K,Japan,Comprehensive guide to daily life in Japan,High,High,No
tokyobound,https://www.instagram.com/tokyobound/,Travel/Lifestyle,19.2K,Japan,Tokyo life and travel experiences,High,High,No
gaijinpotjobs,https://www.instagram.com/gaijinpotjobs/,Career/Jobs,28.5K,Japan,Job opportunities and career advice for foreigners,High,High,No
japanfoodlife,https://www.instagram.com/japanfoodlife/,Food/Culture,17.8K,Japan,Exploring Japanese food culture and cooking,High,High,No
tokyoinsider,https://www.instagram.com/tokyoinsider/,Lifestyle/Local,23.5K,Japan,Insider tips and hidden gems in Tokyo,High,High,No
japanstudylife,https://www.instagram.com/japanstudylife/,Education/Culture,18.7K,Japan,Study abroad and student life experiences in Japan,High,High,No
tokyoweekender,https://www.instagram.com/tokyoweekender/,Lifestyle/Culture,44.2K,Japan,Tokyo lifestyle and cultural magazine,High,High,No
japanfamilylife,https://www.instagram.com/japanfamilylife/,Family/Lifestyle,21.3K,Japan,Family life and parenting experiences in Japan,High,High,No
tokyoexpat,https://www.instagram.com/tokyoexpat/,Lifestyle/Culture,15.6K,Japan,Daily life and cultural experiences in Tokyo,High,High,No
japanmomlife,https://www.instagram.com/japanmomlife/,Family/Parenting,24.8K,Japan,Parenting and family life experiences in Japan,High,High,No
gaijinpotblog,https://www.instagram.com/gaijinpotblog/,Blog/Culture,31.2K,Japan,Blog about life and culture in Japan,High,High,No
japanexpatnetwork,https://www.instagram.com/japanexpatnetwork/,Community/Network,19.7K,Japan,Expat community and networking in Japan,High,High,No
japanexpatmom,https://www.instagram.com/japanexpatmom/,Family/Lifestyle,26.7K,Japan,Expat mom sharing family life in Japan,High,High,No
gaijinpottravel,https://www.instagram.com/gaijinpottravel/,Travel/Guide,33.4K,Japan,Travel guides and destination tips in Japan,High,High,No
