username,profile_url,content_type,followers_count,location,bio_summary,post_frequency,engagement_rate,verified
cathycat_tv,https://www.instagram.com/cathycat_tv/,Reporter/Creator,31.3K,Japan,Reporter and content creator sharing Japan experiences,High,High,No
mickaelshimizu_,https://www.instagram.com/mickaelshimizu_/,Lifestyle/Culture,36.5K,Japan,Sharing daily life and cultural experiences in Japan,High,High,No
thewanderingcam,https://www.instagram.com/thewanderingcam/,Travel/Culture,47.5K,Japan,Japan life and sakura hunting experiences,High,High,No
makinghomebase,https://www.instagram.com/makinghomebase/,Lifestyle/Home,21.8K,Japan,Decorating rentals and exploring Japan life,Regular,High,No
keithbedford,https://www.instagram.com/keithbedford/,Photography/Culture,17.4K,Japan,Professional photographer documenting life in Japan,Regular,High,No
ehousing.jp,https://www.instagram.com/ehousing.jp/,Real Estate/Lifestyle,30.4K,Japan,Real estate and expat life in Japan,High,High,No
incyvincyspider,https://www.instagram.com/incyvincyspider/,Travel/Lifestyle,43.9K,Japan,Travel and lifestyle content creator in Japan,High,High,No
ykaingt___,https://www.instagram.com/ykaingt___/,Personal/Lifestyle,12.9K,Japan,Personal life and daily experiences in Japan,Regular,Medium,No
shiolife_cafe,https://www.instagram.com/shiolife_cafe/,Food/Lifestyle,15.8K,Japan,Cafe and food experiences in Japan,High,High,No
zureenhns,https://www.instagram.com/zureenhns/,Fashion/Vlog,13.6K,Japan,Fashion and lifestyle content in Japan,High,High,No
gounoshima,https://www.instagram.com/gounoshima/,Culture/Entertainment,25.1K,Japan,Japanese culture and entertainment content,High,High,No
shortsjapan,https://www.instagram.com/shortsjapan/,Travel/Culture,16K,Japan,Showcasing Japan life and travel experiences,High,High,No
japanin.jp,https://www.instagram.com/japanin.jp/,Photography/Travel,20K,Japan,Sharing beautiful photographs of Japan locations,High,High,No
japan_life7,https://www.instagram.com/japan_life7/,Lifestyle/Culture,34K,Japan,Daily life and cultural experiences in Japan,High,High,No
japanguidecom,https://www.instagram.com/japanguidecom/,Travel/Guide,41.3K,Japan,Comprehensive travel guide and local insights,High,High,No
japancommunity,https://www.instagram.com/japancommunity/,Community/Culture,11K,Japan,Japan community and cultural exchange platform,High,High,No
lifewhereimfrom,https://www.instagram.com/lifewhereimfrom/,Travel/Culture,19K,Japan,Sharing life experiences around the world with focus on Japan,High,High,No
livininjapan,https://www.instagram.com/livininjapan/,Lifestyle/Local,13K,Japan,Supporting local businesses and exploring less known places,High,High,No
plasmakluster_pk,https://www.instagram.com/plasmakluster_pk/,Tech/Lifestyle,11K,Japan,Tokyo-based engineer sharing daily life and tech insights,High,High,No
japanexplorer,https://www.instagram.com/japanexplorer/,Travel/Adventure,22.4K,Japan,Exploring hidden gems and adventure spots in Japan,High,High,No
